2025-01-13 12:23:06.996, Program Started
2025-01-13 12:23:07.129, .226000
2025-01-13 12:23:14.674, Y Accel:, 18.544000
2025-01-13 12:23:14.746, Z Accel:, 1018.395000
2025-01-13 12:23:14.806, X Accel:, -2.196000
2025-01-13 12:23:14.872, Y Accel:, 17.202000
2025-01-13 12:23:14.943, Z Accel:, 1021.689000
2025-01-13 12:23:15.004, X Accel:, -2.440000
2025-01-13 12:23:15.070, Y Accel:, 19.642000
2025-01-13 12:23:15.142, Z Accel:, 1019.676000
2025-01-13 12:23:15.202, X Accel:, -2.440000
2025-01-13 12:23:15.268, Y Accel:, 18.727000
2025-01-13 12:23:15.341, Z Accel:, 1022.299000
2025-01-13 12:23:15.406, X Accel:, -1.952000
2025-01-13 12:23:15.466, Y Accel:, 17.202000
2025-01-13 12:23:15.538, Z Accel:, 1021.872000
2025-01-13 12:23:15.604, X Accel:, -1.464000
2025-01-13 12:23:15.664, Y Accel:, 16.897000
2025-01-13 12:23:15.736, Z Accel:, 1018.517000
2025-01-13 12:23:15.802, X Accel:, -3.538000
2025-01-13 12:23:15.868, Y Accel:, -1.464000
2025-01-13 12:23:15.934, Z Accel:, 1022.787000
2025-01-13 12:23:16.001, X Accel:, -2.440000
2025-01-13 12:23:16.066, Y Accel:, -1.525000
2025-01-13 12:23:16.132, Z Accel:, 1017.236000
2025-01-13 12:23:16.202, X Accel:, -12.078000
2025-01-13 12:23:16.268, Y Accel:, -3.050000
2025-01-13 12:23:16.340, Z Accel:, 1017.602000
2025-01-13 12:23:16.400, X Accel:, -6.527000
2025-01-13 12:23:16.462, Y Accel:, 6.283000
2025-01-13 12:23:16.534, Z Accel:, 1019.798000
2025-01-13 12:23:16.594, X Accel:, -6.893000
2025-01-13 12:23:16.661, Y Accel:, 16.226000
2025-01-13 12:23:16.727, Z Accel:, -4.941000
2025-01-13 12:23:16.788, X Accel:, -1.464000
2025-01-13 12:23:16.853, Y Accel:, 15.982000
2025-01-13 12:23:16.925, Z Accel:, 1022.665000
2025-01-13 12:23:16.992, X Accel:, -1.647000
2025-01-13 12:23:17.052, Y Accel:, 16.165000
2025-01-13 12:23:17.124, Z Accel:, 1021.384000
2025-01-13 12:23:17.190, X Accel:, -1.891000
2025-01-13 12:23:17.251, Y Accel:, 16.592000
2025-01-13 12:23:17.323, Z Accel:, 1021.567000
2025-01-13 12:23:17.390, X Accel:, -3.660000
2025-01-13 12:23:17.456, Y Accel:, 16.958000
2025-01-13 12:23:17.522, Z Accel:, 1020.347000
2025-01-13 12:23:17.587, X Accel:, -3.355000
2025-01-13 12:23:17.654, Y Accel:, 18.361000
2025-01-13 12:23:17.720, Z Accel:, 1022.604000
2025-01-13 12:23:17.787, X Accel:, -1.647000
2025-01-13 12:23:17.852, Y Accel:, 18.666000
2025-01-13 12:23:17.924, Z Accel:, 1019.676000
2025-01-13 12:23:17.985, X Accel:, -0.671000
2025-01-13 12:23:18.051, Y Accel:, 17.446000
2025-01-13 12:23:18.123, Z Accel:, 1021.201000
2025-01-13 12:23:18.182, X Accel:, -1.098000
2025-01-13 12:23:18.248, Y Accel:, 17.202000
2025-01-13 12:23:18.321, Z Accel:, 1020.713000
2025-01-13 12:23:18.386, X Accel:, -1.586000
2025-01-13 12:23:18.447, Y Accel:, 17.446000
2025-01-13 12:23:18.519, Z Accel:, 1020.591000
2025-01-13 12:23:18.584, X Accel:, -2.013000
2025-01-13 12:23:18.644, Y Accel:, 17.995000
2025-01-13 12:23:18.717, Z Accel:, 1022.116000
2025-01-13 12:23:18.782, X Accel:, -1.281000
2025-01-13 12:23:18.842, Y Accel:, 18.056000
2025-01-13 12:23:18.914, Z Accel:, 1018.639000
2025-01-13 12:23:18.981, X Accel:, -1.525000
2025-01-13 12:23:19.047, Y Accel:, -1.647000
2025-01-13 12:23:19.113, Z Accel:, 1021.872000
2025-01-13 12:23:19.180, X Accel:, -1.464000
2025-01-13 12:23:19.245, Y Accel:, 16.958000
2025-01-13 12:23:19.319, Z Accel:, 1021.018000
2025-01-13 12:23:19.379, X Accel:, -0.122000
2025-01-13 12:23:19.445, Y Accel:, 17.385000
2025-01-13 12:23:19.517, Z Accel:, 1021.750000
2025-01-13 12:23:19.576, X Accel:, -0.122000
2025-01-13 12:23:19.643, Y Accel:, 18.910000
